Url;Size;YardSize;Price;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164349321317152&slink=7yckwg&f1=1;30;0;60000;град София, Център;2;3;2-СТАЕН;Гредоред;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164573644866670&slink=7yckwg&f1=1;30;0;106000;град София, Център;0;0;2-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164811131039267&slink=7yckwq&f1=1;31;0;39370;град София, Овча купел 1;2;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163094263410494&slink=7yckwq&f1=1;31;0;39000;град София, Зона Б-18;0;0;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162815112042867&slink=7yckwq&f1=1;31;0;34990;град София, Люлин 10;1;8;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162210957859874&slink=7yckwq&f1=1;31;0;58000;град София, Люлин 4;12;14;1-СТАЕН;ЕПК;1984
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164319293643816&slink=7yckwq&f1=1;31;0;37536;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164379078870947&slink=7yckwq&f1=1;31;0;37850;град София, Малинова долина;1;6;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164622878319135&slink=7yckwq&f1=1;31;0;46995;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164570427661255&slink=7yckwq&f1=1;31;0;46995;град София, Малинова долина;1;5;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787802511663&slink=7yckwq&f1=1;31;0;50810;град София, Надежда 1;2;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787802011843&slink=7yckwq&f1=1;31;0;50810;град София, Надежда 1;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164846857186055&slink=7yckwq&f1=1;31;0;35200;град София, Овча купел;3;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164846846565364&slink=7yckwq&f1=1;31;0;35200;град София, Овча купел 1;3;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162633403400102&slink=7yckwq&f1=1;31;0;81000;град София, Студентски град;2;5;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163430731793733&slink=7yckwq&f1=1;31;0;39000;град София, Център;0;0;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164854788882942&slink=7yckwq&f1=1;31;0;120000;град София, Център;0;0;1-СТАЕН;Тухла;1980
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164793647965752&slink=7yckwq&f1=1;31;0;103999;град София, Надежда 4;3;4;2-СТАЕН;Тухла;1974
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165054004662157&slink=7yckx3&f1=1;32;0;45000;град София, Център;1;5;1-СТАЕН;Тухла;1950
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164259301494288&slink=7yckx3&f1=1;32;0;39100;град София, Малинова долина;3;6;1-СТАЕН;Тухла;0
